stage_id,config_id,pdf_chunker,note_chunker,retriever,source_composition,reranker,rankable,status,validity_class,primary_score,guardrails_passed,guardrail_failures,new_hard_failure_count,operational_review_required,latency_validity,input_fingerprint,payload_sha256,contract_errors
retriever,retriever-0cf355b010cab9b9ef9d,pdf-fixed-1200,,dense,pdf-only,rerank-off,True,completed,valid-and-rankable,0.8215826167304325,True,,0,False,observed-only,2c95923a530f1cb13a66577a18ebc5304c4cae58c1db9dc1abe8ce588c9fe8e7,d3d3422262dd1e35bbd7d1148c741947710104fb6aba9e4f77a0ff177c1e8f9a,
retriever,retriever-505b0f12318c520338bf,pdf-fixed-1200,,bm25,pdf-only,rerank-off,True,completed,valid-but-poor,0.7849590641087081,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,8,False,observed-only,3a97a0734696184563e00a9210751c94ca0cb131c67c4e52b2859734c6612ece,e095ca665f5e8221c2156a43595542a67eb8d8eafc52fbe055a69a83acdff69f,
retriever,retriever-9ccd91ad8de58b61e209,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-off,True,completed,valid-but-poor,0.8345257019828777,False,adversarial-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,3,False,observed-only,7fd04829bf8d8c0e992a602ba1f8e8a26dcc563e2e657c6aea532f12cdf2bccd,51d141d424ff5be863790fb77fc37c2f9c50031a90459ce67887b6922412a36e,
source-composition,source-composition-00569ab29b0615636c7d,pdf-parent-child,,hybrid-rrf,hierarchical-pdf,rerank-off,True,completed,valid-but-poor,0.7342808680268875,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,9,True,observed-only,42622ba95644a9207033b5f45581b69ce465ee877f4d6fc448854105a7cbe39b,50d8377f02d070b44d972a74d338202db0049d5fa8c7d88f7f07e15774856888,
source-composition,source-composition-63afe8364a38cce0a288,pdf-fixed-1200,note-reviewer-concern,hybrid-rrf,note-guided-pdf,rerank-off,True,completed,valid-but-poor,0.081039143968656,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,209,False,observed-only,2f5fd69298d59819232f448257f16d32551e6abf4edbae767ef1cb14f088da3a,303f9560921edc81cd8677724f08d3ab59831f83b2ccf6757e4f87a8c266b071,
source-composition,source-composition-92a5dd813049803fe4b6,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-off,True,completed,valid-and-rankable,0.8345257019828777,True,,0,False,observed-only,0bd4ff724451ec3d1242c34ce5fe92d3a3dbc84b0e31c29fb47979c93da0b564,986545d48cb6800e75a17f379057183ad61719f3433003e137a6f72b4f4c4e03,
source-composition,source-composition-a710ff29907c7801b3b6,pdf-fixed-1200,note-reviewer-concern,hybrid-rrf,note-to-pdf,rerank-off,True,completed,valid-but-poor,0.01855803867665333,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,221,False,observed-only,76d700e730895bdadadcc9d9d6e818f4e8ec90231c9129fd09e132fc6d4ef946,23283e7320873c29032de6d2a87162dde9a5f886e53be432db981039743debb3,
source-composition,source-composition-da7b523d9783cfd3a8da,pdf-fixed-1200,note-reviewer-concern,hybrid-rrf,pdf-note-rrf,rerank-off,True,completed,valid-but-poor,0.8026917864183991,False,recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,3,False,observed-only,507508de64ee8a9f7f4e891a432e769b98c6f2107d8354e159c83b21c3b65b6c,67e4f57152fdfe8504ff9114443de606968fb40d01a7c55d86d8c9125f5ecef4,
top2-confirmation,top2-confirmation-0d3b98ed0b9c6f728106,pdf-fixed-800,,dense,pdf-only,rerank-off,True,completed,valid-and-rankable,0.7978727842335508,True,,0,False,observed-only,9aad2318ec925dccb235aff29155143f596dac99410ccbe832dbb503cdaab477,cc91bb7a8f1def1af86d547010186a7509495a3ba4232e3e873d2263316a97a6,
top2-confirmation,top2-confirmation-2d5a2ea0484f0cf3f1fc,pdf-fixed-800,,dense,pdf-only,rerank-50-to-10,True,completed,valid-but-poor,0.8313412419580084,False,new-recall-at-10-hard-failures,1,True,observed-only,a97a38b36e1d1ebb313e8d4fc26be10acd26c707670ec4f6afdabc0c2b54275e,f6681a4b7155ad4843d7db50a2c01f472b8080a3436b8083f1aac25c36bb2aa4,
top2-confirmation,top2-confirmation-3a21a2f681c8a31d68fe,pdf-fixed-800,,hybrid-rrf,pdf-only,rerank-50-to-10,True,completed,valid-but-poor,0.8333640555240306,False,new-recall-at-10-hard-failures|upstream-retriever-guardrail-failed,1,True,observed-only,e5e2168e3f4c725d774096b36afc56c650620bd0fe90e70b54f7bb48f4d72f4f,e49e7a47bf8728b0c32b467fbb11e09e69bf491316a28590b0434a241a7665fa,
top2-confirmation,top2-confirmation-4a54989ab9420c780d49,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-off,True,completed,valid-but-poor,0.8345257019828777,False,upstream-pdf_chunker-guardrail-failed|upstream-retriever-guardrail-failed,0,False,observed-only,9171b6ad64097153d60a81c5d18e0f63d9422102acb8c6e679d2f7c16d379351,0ba65ef169e95cf85b0e3944122d44bb5fa93b6648984f09ebf641c474ea2e07,
top2-confirmation,top2-confirmation-4ed5e80f8af0d963b8a2,pdf-fixed-1200,,dense,pdf-only,rerank-50-to-10,True,completed,valid-but-poor,0.8371289892788024,False,too-many-domain-regressions|adversarial-regression|new-recall-at-10-hard-failures|upstream-pdf_chunker-guardrail-failed,1,True,observed-only,5b0dba2cbc2b3ad53f2e5356aba029959453d0ca31b3458e746fc36ff1118b64,154252447334a64ae61f7fbefadd54cd6c91702bdb3df6a230db0520d50d2fc6,
top2-confirmation,top2-confirmation-61e18c1d40a13e571292,pdf-parent-child,,hybrid-rrf,hierarchical-pdf,rerank-50-to-10,True,completed,valid-but-poor,0.7851471480168082,False,new-recall-at-10-hard-failures|upstream-pdf_chunker-guardrail-failed|upstream-retriever-guardrail-failed|upstream-source_composition-guardrail-failed,3,True,observed-only,9cc83d31565172495cbc0cc020795219eeb7c692084ba7550c26a1a8bb5d308c,1c8db956649ba6beeae8b4cf447e71df6dbacc375ac23737696e31510513a7ba,
top2-confirmation,top2-confirmation-83a878a5daa76b1bb7ff,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-50-to-10,True,completed,valid-but-poor,0.8368531607165567,False,too-many-domain-regressions|new-recall-at-10-hard-failures|upstream-pdf_chunker-guardrail-failed|upstream-retriever-guardrail-failed,1,True,observed-only,a8a6f3ef9561f3b32831f2fd7397529d86b5c77b9bc0b8b168877c1514df77c1,347a8e17f488d0f31f8775039d769b4cde831e733280af607ed3697d44cd36f4,
top2-confirmation,top2-confirmation-b9f5e20ef5468f52dd25,pdf-parent-child,,dense,hierarchical-pdf,rerank-off,True,completed,valid-but-poor,0.7005184392266234,False,upstream-pdf_chunker-guardrail-failed|upstream-source_composition-guardrail-failed,0,False,observed-only,a04298213fcc4df706b94b9d996155514fb8f4d85c079161fcfd197daeff3039,6d7c7bea6a23346c58363012175e7499d6d743fb27794d8f041cb486d7cf02d9,
top2-confirmation,top2-confirmation-c5b661c074b674db2ad5,pdf-parent-child,,hybrid-rrf,hierarchical-pdf,rerank-off,True,completed,valid-but-poor,0.7342808680268875,False,upstream-pdf_chunker-guardrail-failed|upstream-retriever-guardrail-failed|upstream-source_composition-guardrail-failed,0,False,observed-only,b5feefb3cd7d38dfdbb27eee0f75c3fbaadc886a7f641a788d29b898e8ee1783,574819976a802c47b431347efc5ab62478a8b6d591fd63b0a731aa8907cd6b98,
top2-confirmation,top2-confirmation-cd8278d4f8da181e0f14,pdf-fixed-800,,hybrid-rrf,pdf-only,rerank-off,True,completed,valid-but-poor,0.8184880536418284,False,upstream-retriever-guardrail-failed,0,False,observed-only,314cb1c1593e52bc33f68c42da82aaba93cbe265a6ce41532a57619a301d6a94,0707d1676452e48b3090c15644df7f3a7c1d98cea9d5b53131201d3eec0cabca,
top2-confirmation,top2-confirmation-f8a0b35f82e5b973d89f,pdf-parent-child,,dense,hierarchical-pdf,rerank-50-to-10,True,completed,valid-but-poor,0.7816493717190316,False,new-recall-at-10-hard-failures|upstream-pdf_chunker-guardrail-failed|upstream-source_composition-guardrail-failed,3,True,observed-only,37d059ee0efea44d8ea756afecde39a5b04e37310552dffc891a08ad56dad177,92678283a46e88318f78b783968d8fa0cf19413ea1b337d99e811138fad8459f,
top2-confirmation,top2-confirmation-ff5d2f5f70537d7f0ea6,pdf-fixed-1200,,dense,pdf-only,rerank-off,True,completed,valid-but-poor,0.8215826167304325,False,upstream-pdf_chunker-guardrail-failed,0,False,observed-only,96f331b135fc787b802b1a9d12ba495b46189701c0f21f189558707d0ffa48ec,0321fc6585d8a998c0f546971e6fb36e98971317a130b217875b7b9189b169f7,
